"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-28","   80","  100",,,,"0.00",,"0.0","0.0",,"66","35",,"  300",,,,,"25.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-29","    0","    0",,,,"0.00",,"0.0","0.0",,"49","20",,"  360",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-30","    0","    0",,,,"0.00",,"0.0","0.0",,"57","11",,"  200",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-01-31","   20","    0",,,,"0.00",,"0.0","0.0",,"57","14",,"  170",,,,,"21.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-01","   70","   50",,,,"0.00",,"0.0","0.0",,"61","30",,"  290",,,,,"38.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-02","   70","   90",,,,"0.00",,"0.0","0.0",,"44","22",,"   20",,,,,"25.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-03","    0","    0",,,,"0.00",,"0.0","0.0",,"56","11",,"  230",,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-04","   80","  100",,,,"0.00",,"0.0","0.0",,"72","36",,"  290",,,,,"21.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-05","  100","  100",,,,"0.00",,"0.0","0.0",,"53","30",,"   40",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-06","   10","   10",,,,"0.00",,"0.0","0.0",,"67","25",,"  250",,,,,"8.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-07","   30","   30",,,,"0.00",,"0.0","0.0",,"70","28",,"  300",,,,,"10.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-08","   50","   80",,,,"0.00",,"0.0","0.0",,"61","32",,"   50",,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-09","    0","    0",,,,"0.00",,"0.0","0.0",,"59","23",,"  350",,,,,"13.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-10","   60","   90",,,,"0.00",,"0.0","0.0",,"70","30",,"  230",,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-11","   20","   50",,,,"0.00",,"0.0","0.0",,"64","27",,"   50",,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-12","    0","    0",,,,"0.00",,"0.0","0.0",,"68","19",,"  230",,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-13","   40","   50",,,,"0.00",,"0.0","0.0",,"76","36",,"  270",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-14","   60","   90",,,,"0.00",,"0.0","0.0",,"53","29",,"   80",,,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-15","   50","   50",,,,"0.04",,"0.4","0.0",,"60","32",,"   40",,,,,"19.9",,,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-16","   20","   40",,,,"0.00",,"0.0","0.0",,"71","26",,"  240",,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-17","    0","    0",,,,"0.00",,"0.0","0.0",,"85","33",,"  240",,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
